,datetime,pnl_sum,return
232,2025-05-23 11:25:00,499.4904219686359,4.994904219686359e-05
233,2025-05-23 11:30:00,-800.2672755714682,-8.002672755714682e-05
234,2025-05-23 12:30:00,6675.878074233764,0.0006675878074233764
235,2025-05-23 12:35:00,4649.508327867248,0.00046495083278672483
236,2025-05-23 12:40:00,7246.679413190278,0.0007246679413190278
237,2025-05-23 12:45:00,3699.823067639998,0.0003699823067639998
238,2025-05-23 12:50:00,4616.696365214475,0.0004616696365214475
239,2025-05-23 12:55:00,4999.639182145281,0.000499963918214528
240,2025-05-23 13:00:00,13566.467461580509,0.001356646746158051
241,2025-05-23 13:05:00,5249.72992308007,0.000524972992308007
242,2025-05-23 13:10:00,10966.859883487257,0.0010966859883487258
243,2025-05-23 13:15:00,5200.0,0.00052
244,2025-05-23 13:20:00,18642.597245682984,0.0018642597245682984
245,2025-05-23 13:25:00,7799.762420185333,0.0007799762420185333
246,2025-05-23 13:30:00,21800.099405432615,0.0021800099405432614
247,2025-05-23 13:35:00,7899.931795371664,0.0007899931795371664
248,2025-05-23 13:40:00,25821.802776184955,0.0025821802776184954
249,2025-05-23 13:45:00,7449.8287600369,0.00074498287600369
250,2025-05-23 13:50:00,21051.785304754732,0.002105178530475473
251,2025-05-23 13:55:00,6549.972937228719,0.0006549972937228719
252,2025-05-23 14:00:00,20961.84841412337,0.002096184841412337
253,2025-05-23 14:05:00,6299.873202096762,0.0006299873202096762
254,2025-05-23 14:10:00,16783.785417946,0.0016783785417946002
255,2025-05-23 14:15:00,5899.947960196903,0.0005899947960196903
256,2025-05-23 14:20:00,12274.638906555381,0.001227463890655538
257,2025-05-23 14:25:00,4099.870656339054,0.00040998706563390543
258,2025-05-23 14:30:00,10924.870873733853,0.0010924870873733853
259,2025-05-23 14:35:00,3849.9413678879273,0.00038499413678879274
260,2025-05-23 14:40:00,10620.027610867608,0.0010620027610867607
261,2025-05-23 14:45:00,2299.843581941448,0.0002299843581941448
262,2025-05-23 14:50:00,9885.859617569735,0.0009885859617569735
263,2025-05-23 14:55:00,2149.9544631354797,0.00021499544631354797
264,2025-05-23 15:00:00,10309.845114799773,0.0010309845114799773
265,2025-05-23 15:05:00,2449.969982418879,0.0002449969982418879
266,2025-05-23 15:10:00,14722.8231260464,0.00147228231260464
267,2025-05-23 15:15:00,3999.9000210794247,0.0003999900021079425
268,2025-05-23 15:20:00,19144.023921901797,0.0019144023921901796
269,2025-05-23 15:25:00,4149.9184003746905,0.000414991840037469
270,2025-05-23 15:30:00,14170.318311751986,0.0014170318311751986
271,2025-05-26 09:00:00,10687.482865154863,0.0010687482865154863
272,2025-05-26 09:05:00,-5862.798262999659,-0.0005862798262999658
273,2025-05-26 09:10:00,9143.88320690287,0.0009143883206902871
274,2025-05-26 09:15:00,7045.2583399161,0.00070452583399161
275,2025-05-26 09:20:00,4649.319316063238,0.0004649319316063238
276,2025-05-26 09:25:00,47.82228124604035,4.782228124604035e-06
277,2025-05-26 09:30:00,2249.9181684947844,0.00022499181684947843
278,2025-05-26 09:35:00,-3001.2478744641744,-0.00030012478744641745
279,2025-05-26 09:40:00,1749.6862364541203,0.00017496862364541201
280,2025-05-26 09:45:00,-5700.757521917707,-0.0005700757521917707
281,2025-05-26 09:50:00,1749.7172881592096,0.00017497172881592097
282,2025-05-26 09:55:00,-3150.868496080543,-0.00031508684960805433
283,2025-05-26 10:00:00,8898.832654849433,0.0008898832654849433
284,2025-05-26 10:05:00,5549.461625174394,0.0005549461625174393
285,2025-05-26 10:10:00,3148.970208180585,0.0003148970208180585
286,2025-05-26 10:15:00,1048.6671383359226,0.00010486671383359226
287,2025-05-26 10:20:00,9399.574989647994,0.0009399574989647993
288,2025-05-26 10:25:00,8098.652269244537,0.0008098652269244537
289,2025-05-26 10:30:00,9899.759984554667,0.0009899759984554667
290,2025-05-26 10:35:00,9149.519163722636,0.0009149519163722637
291,2025-05-26 10:40:00,6499.727539217939,0.0006499727539217939
292,2025-05-26 10:45:00,4849.554966566722,0.00048495549665667224
293,2025-05-26 10:50:00,5499.823467340294,0.0005499823467340294
294,2025-05-26 10:55:00,10149.622084004142,0.0010149622084004142
295,2025-05-26 11:00:00,9799.582320962369,0.000979958232096237
296,2025-05-26 11:05:00,13549.769762886495,0.0013549769762886495
297,2025-05-26 11:10:00,8799.880833682924,0.0008799880833682925
298,2025-05-26 11:15:00,15049.620485802714,0.0015049620485802714
